Argument,Description,Default,Choices
robot_model_leader,model type of the leader arms.,``aloha_wx250s``,
robot_model_follower,model type of the follower arms.,``aloha_vx300s``,
robot_name_leader_left,name of the left leader arm,``leader_left``,
robot_name_leader_right,name of the right leader arm,``leader_right``,
robot_name_follower_left,name of the left follower arm,``follower_left``,
robot_name_follower_right,name of the right follower arm,``follower_right``,
leader_modes_left,the file path to the 'mode config' YAML file for the left leader arm.,LocalVar('FindPackageShare\(pkg= ``aloha``\) + 'config' + 'leader_modes_left.yaml''),
leader_modes_right,the file path to the 'mode config' YAML file for the right leader arm.,LocalVar('FindPackageShare\(pkg= ``aloha``\) + 'config' + 'leader_modes_right.yaml''),
follower_modes_left,the file path to the 'mode config' YAML file for the left follower arm.,LocalVar('FindPackageShare\(pkg= ``aloha``\) + 'config' + 'follower_modes_left.yaml''),
follower_modes_right,the file path to the 'mode config' YAML file for the right follower arm.,LocalVar('FindPackageShare\(pkg= ``aloha``\) + 'config' + 'follower_modes_right.yaml''),
launch_leaders,"if ``true``, launches both the leader and follower arms; if ``false``, just the followers are launched.",``true``,"``true``, ``false``"
use_cameras,"if ``true``, launches the camera drivers.",``true``,"``true``, ``false``"
cam_high_name,,``cam_high``,
cam_low_name,,``cam_low``,
cam_left_wrist_name,,``cam_left_wrist``,
cam_right_wrist_name,,``cam_right_wrist``,
is_mobile,,EnvVar\(``INTERBOTIX_ALOHA_IS_MOBILE``\),"``true``, ``false``"
use_base,"if ``true``, launches the driver for the SLATE base.",LaunchConfig\(``is_mobile``\),"``true``, ``false``"
use_joystick_teleop,"if ``true``, launches a joystick teleop node for the base.",LaunchConfig\(``use_base``\),"``true``, ``false``"
use_aloha_rviz,"One of: ('true', 'false')",``false``,
aloha_rvizconfig,,LocalVar('FindPackageShare\(pkg= ``aloha``\) + 'rviz' + 'aloha.rviz''),
base_link_frame,"name of the 'root' link on the arm; typically ``base_link``, but can be changed if attaching the arm to a mobile base that already has a ``base_link`` frame.",``base_link``,
